Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C2, C29, C3, C30, C31, C4, C5, C6, C7, C8",0402,12,100n,
"C11, C12, C18",0805,3,10u,
"C13, C14",0402,2,15p,
"C15, C16, C17, C9",0402,4,4.7u,
"C19, C20",0402,2,15n,
C21,0805,1,22u,
C28,0603,1,10u,
"C32, C35",0603,2,100n,
"C33, C34",0402,2,6p,
"C36, C37",0603,2,1u,
"C38, C39",0603,2,0.1u,
"D1, D2",D_SOD-523,2,MM5Zxx,
"D3, D4",D_SMB,2,SM6T6V8A,
FB1,0603,1,FerriteBead,
IC1,SOT230P700X180-4N,1,NCV1117ST33T3G,
IC2,UCC33020QRAQRQ1,1,UCC33420QRAQRQ1,
IC3,SOIC127P1030X265-16N,1,ISOUSB111DWR,
IC6,SOIC127P600X175-8N,1,MCP3202-CI_SN,
IC7,QFN50P500X500X90-29N-D,1,MCP251863T-E_9PX,
J1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_16P,
J5,SM03BSRSSTBLFSN,1,SM03B-SRSS-TB_LF__SN_,
L1,AOTAB201610S3R3101T,1,AOTA-B201610S3R3-101-T,
"R1, R2",0402,2,27,
"R10, R8",0402,2,10k,
"R11, R9",0402,2,47k,
R12,0402,1,18k,
"R3, R6",0402,2,1k,
"R4, R5",0402,2,5.1k,
R7,0402,1,33,
S1,434133025816,1,434133025816,
U1,QFN-60-1EP_7x7mm_P0.4mm_EP3.4x3.4mm,1,RP2354A,
U2,Texas_DRT-3,1,TPD2EUSB30,
Y1,ABM8272T3,1,ABM8-272-T3,
Y2,Crystal_SMD_2016-4Pin_2.0x1.6mm,1,Crystal_GND24,
