Designator,Mid X,Mid Y,Rotation,Layer
C1,111.1504,-66.8912,180.0,top
C10,120.4352,-71.6422,0.0,top
C11,98.3234,-91.1098,180.0,top
C12,111.1758,-88.1126,0.0,top
C13,115.7902,-80.120338,0.0,top
C14,113.5102,-80.1172,0.0,top
C15,116.6302,-67.6022,0.0,top
C16,116.6302,-66.6622,0.0,top
C17,119.2602,-65.7622,90.0,top
C18,83.7716,-91.186,270.0,top
C19,85.3464,-91.2114,270.0,top
C2,109.0168,-69.4172,180.0,top
C20,93.4802,-92.451,90.0,top
C21,95.0502,-92.451,90.0,top
C28,124.865,-70.455,0.0,top
C29,124.835,-71.735,0.0,top
C3,122.1,-72.675,0.0,top
C30,130.7338,-77.597,180.0,top
C31,136.1948,-85.8012,0.0,top
C32,133.15,-86.925,180.0,top
C33,128.6628,-83.1988,270.0,top
C34,127.4228,-83.1988,270.0,top
C35,85.9536,-86.7918,0.0,top
C36,89.5346,-73.4822,180.0,top
C37,104.7346,-73.4822,0.0,top
C38,89.5346,-76.0222,180.0,top
C39,104.7346,-76.0322,0.0,top
C4,109.0168,-73.4122,180.0,top
C5,119.694663,-76.5122,0.0,top
C6,120.269,-67.6656,90.0,top
C7,113.0602,-77.4172,270.0,top
C8,108.5088,-71.5264,270.0,top
C9,116.3852,-77.3672,0.0,top
D1,134.765,-65.525,90.0,top
D2,134.765,-68.2375,270.0,top
D3,144.75,-70.655,0.0,top
D4,144.75,-90.43,0.0,top
FB1,83.5406,-87.757,270.0,top
FID1,90.65,-58.05,0.0,top
FID2,154.75,-58.05,0.0,top
FID3,154.725,-103.0,0.0,top
FID4,107.55,-79.55,0.0,top
FID5,121.3,-64.475,0.0,top
H1,153.285,-90.43,0.0,top
H2,153.285,-70.655,0.0,top
H3,82.8,-68.725,0.0,top
H4,97.25,-102.75,0.0,top
IC1,104.6988,-88.7984,0.0,top
IC2,89.2302,-91.821,0.0,top
IC3,97.1296,-77.9272,0.0,top
IC6,127.085,-66.895,180.0,top
IC7,132.9828,-82.1088,0.0,top
J1,81.705,-80.5,270.0,top
J2,146.405,-100.35,180.0,top
J3,146.33,-80.555,180.0,top
J4,146.33,-60.75,180.0,top
J5,121.707,-86.1662,0.0,top
L1,116.7652,-65.0222,0.0,top
R1,111.1504,-65.843,0.0,top
R10,133.325,-68.035,270.0,top
R11,132.125,-68.035,90.0,top
R12,86.3116,-88.6968,180.0,top
R2,111.1504,-64.783,0.0,top
R3,109.1692,-68.0088,0.0,top
R4,87.2,-78.26,270.0,top
R5,87.2,-83.18,90.0,top
R6,114.6602,-78.620338,90.0,top
R7,119.2602,-67.6622,90.0,top
R8,133.325,-65.745,90.0,top
R9,132.125,-65.745,270.0,top
S1,103.3698,-67.7496,270.0,top
TP1,110.0582,-91.1352,0.0,top
TP2,113.5634,-64.5414,0.0,top
TP3,90.5764,-70.6374,0.0,top
TP4,139.75,-90.43,0.0,top
TP5,139.75,-70.655,0.0,top
TP6,97.1402,-93.344433,270.0,top
TP8,136.865,-65.745,0.0,top
TP9,136.865,-68.035,180.0,top
U1,114.6302,-72.2122,90.0,top
U2,88.1475,-80.5025,90.0,top
Y1,114.649663,-82.9422,0.0,top
Y2,128.0628,-85.6688,180.0,top
